Freq "On Axis"
20.5078 63.31460000000001
21.9727 61.46379999999999
23.4375 64.47580000000002
24.9023 65.43539999999999
26.3672 66.11949999999999
27.832 67.4127
29.2969 67.8166
30.7617 68.6161
32.2266 69.322
33.6914 69.8733
35.1562 70.4438
36.6211 71.19829999999999
38.0859 71.5609
39.5508 72.0524
41.0156 72.6991
42.4805 73.0528
43.9453 73.6816
45.4102 74.3957
46.875 75.0332
48.3398 75.6184
51.2695 76.754
52.7344 77.3546
54.1992 78.0883
55.6641 78.7552
58.5938 80.506
60.0586 81.13739999999999
62.9883 82.5532
64.4531 83.25639999999999
67.3828 84.7899
68.8477 85.57329999999999
71.7773 87.1227
74.707 88.703
77.6367 90.2072
79.1016 90.8568
82.0312 91.75879999999998
84.9609 91.9129
87.8906 91.34450000000001
90.8203 90.34629999999999
95.2148 88.7647
98.1445 87.7215
101.074 86.7132
105.469 85.6172
108.398 85.1139
112.793 84.2087
117.188 83.4654
120.117 82.99120000000002
124.512 82.3334
128.906 81.7854
133.301 81.3148
139.16 80.769
143.555 80.4489
147.949 80.2296
153.809 79.95840000000001
159.668 79.9936
165.527 79.89750000000001
171.387 79.7449
177.246 79.6946
183.105 79.7473
188.965 79.9281
196.289 80.3323
203.613 80.3289
210.938 80.7622
218.262 81.3725
225.586 81.9761
232.91 82.5932
241.699 83.1164
250.488 84.3032
259.277 84.46860000000001
268.066 85.6299
276.855 86.3003
287.109 86.2304
297.363 84.5981
307.617 85.9152
319.336 85.9853
329.59 85.9291
341.309 86.2245
353.027 85.2224
366.211 84.9412
379.395 85.0176
392.578 85.4783
405.762 83.9633
420.41 85.5162
435.059 83.5811
451.172 87.35919999999999
465.82 86.76090000000002
483.398 84.9958
499.512 85.8857
517.09 87.8783
536.133 88.492
555.176 86.7777
574.219 86.6766
594.727 86.484
615.234 85.6678
637.207 86.7644
659.18 85.5201
682.617 85.275
707.52 86.40109999999999
732.422 85.2834
757.324 84.352
785.156 83.9519
811.523 84.8003
840.82 85.3113
870.117 84.7825
900.879 86.7407
933.105 87.8962
965.332 86.0418
1000.49 86.3735
1035.64 86.4174
1072.27 86.2258
1108.89 85.6131
1148.44 84.5275
1189.45 85.9305
1230.47 86.2773
1274.41 85.80249999999998
1319.82 86.1492
1366.7 85.43300000000002
1413.57 86.1778
1463.38 86.8424
1516.11 88.04239999999999
1568.85 86.90879999999999
1624.51 87.3088
1681.64 87.6882
1741.7 87.8316
1803.22 88.93779999999998
1866.21 87.6692
1932.13 87.825
1999.51 88.8538
2069.82 88.9452
2143.07 88.1312
2219.24 87.7767
2296.88 88.5028
2378.91 87.74540000000002
2462.4 87.31560000000002
2548.83 87.8954
2639.65 87.5591
2731.93 87.066
2828.61 87.009
2928.22 85.7732
3030.76 84.4545
3137.7 84.7764
3249.02 83.9512
3363.28 84.2433
3481.93 85.25300000000001
3604.98 85.8628
3732.42 86.29769999999999
3864.26 86.8905
4000.49 87.48930000000001
4141.11 87.6631
4287.6 86.998
4438.48 86.3067
4595.21 86.5007
4756.35 85.7554
4924.8 84.6945
5097.66 85.501
5277.83 84.7711
5463.87 84.7064
5657.23 85.4279
5856.45 86.148
6062.99 85.9931
6276.86 86.4699
6498.05 86.6162
6726.56 87.0884
6963.87 87.3083
7209.96 87.794
7464.84 87.697
7727.05 87.5624
7999.51 86.70850000000002
8282.23 86.8125
8573.73 87.21769999999998
8876.95 86.78060000000002
9188.96 86.6387
9514.16 86.63389999999998
9849.61 86.1415
10196.8 85.5059
10555.7 85.8457
10927.7 86.6349
11313.0 86.9793
11712.9 87.9807
12126.0 87.7659
12553.7 88.15190000000001
12996.1 88.1609
13454.6 88.6301
13929.2 88.53309999999999
14419.9 87.9374
14928.2 87.2096
15455.6 86.94549999999998
16000.5 87.2724
16564.5 87.178
17148.9 86.2911
17752.4 84.8921
18379.4 83.6686
19026.9 82.3575
19697.8 81.51510000000002
19999.5 80.9329
