Freq "On Axis"
20.5078 55.66680000000001
21.9727 57.305899999999994
23.4375 56.59500000000001
24.9023 60.764300000000006
26.3672 63.203199999999995
27.832 64.0742
29.2969 66.0794
30.7617 67.8097
32.2266 69.6255
33.6914 71.9721
35.1562 73.8244
36.6211 75.0231
38.0859 77.563
39.5508 79.10879999999999
41.0156 79.4327
42.4805 81.2385
43.9453 82.38000000000001
45.4102 83.2719
46.875 84.1459
48.3398 84.8196
51.2695 85.8462
52.7344 86.1755
54.1992 86.3887
55.6641 86.57370000000002
58.5938 86.8039
60.0586 87.0952
62.9883 87.20739999999999
64.4531 87.2827
67.3828 87.41760000000001
68.8477 87.4179
71.7773 87.4073
74.707 87.3884
77.6367 87.33229999999999
79.1016 87.3285
82.0312 87.4573
84.9609 87.1973
87.8906 86.8471
90.8203 87.4421
95.2148 87.53940000000001
98.1445 87.2279
101.074 87.1673
105.469 87.28839999999998
108.398 87.5446
112.793 87.3002
117.188 86.8251
120.117 86.9049
124.512 87.7804
128.906 88.097
133.301 87.738
139.16 86.6405
143.555 87.28259999999999
147.949 88.0132
153.809 86.0215
159.668 86.4346
165.527 88.18140000000001
171.387 88.1533
177.246 86.4972
183.105 87.4069
188.965 87.8806
196.289 86.9191
203.613 87.0816
210.938 86.7526
218.262 86.5727
225.586 86.62759999999999
232.91 86.7256
241.699 86.4704
250.488 86.8266
259.277 87.58730000000001
268.066 88.2299
276.855 87.4069
287.109 87.62490000000001
297.363 89.6055
307.617 89.33
319.336 87.9945
329.59 86.85440000000001
341.309 88.8219
353.027 88.04130000000002
366.211 88.537
379.395 89.6289
392.578 88.6778
405.762 89.8453
420.41 88.5643
435.059 88.6743
451.172 88.4253
465.82 89.7082
483.398 89.7272
499.512 89.39560000000002
517.09 88.8071
536.133 89.474
555.176 90.4019
574.219 90.68
594.727 90.6454
615.234 90.453
637.207 89.8969
659.18 89.6193
682.617 89.7952
707.52 90.58650000000002
732.422 89.9235
757.324 90.59500000000001
785.156 89.19680000000001
811.523 89.3511
840.82 89.7601
870.117 89.6227
900.879 89.7516
933.105 88.66019999999999
965.332 89.6333
1000.49 89.0038
1035.64 88.8104
1072.27 89.46249999999999
1108.89 91.0256
1148.44 89.42799999999998
1189.45 89.0467
1230.47 87.4265
1274.41 86.934
1319.82 88.107
1366.7 87.4228
1413.57 88.5267
1463.38 87.75849999999998
1516.11 87.7888
1568.85 88.8402
1624.51 88.9626
1681.64 89.8007
1741.7 89.9086
1803.22 90.2958
1866.21 90.4806
1932.13 90.6714
1999.51 90.7806
2069.82 90.9553
2143.07 90.8498
2219.24 90.7366
2296.88 90.5478
2378.91 90.63890000000002
2462.4 90.5537
2548.83 90.5303
2639.65 90.83379999999998
2731.93 90.9658
2828.61 90.1196
2928.22 90.50159999999998
3030.76 90.6998
3137.7 90.22520000000002
3249.02 90.1818
3363.28 89.9547
3481.93 90.1236
3604.98 90.6021
3732.42 90.8118
3864.26 90.5964
4000.49 91.11570000000002
4141.11 90.5056
4287.6 90.6552
4438.48 89.4237
4595.21 90.6519
4756.35 90.8191
4924.8 90.7301
5097.66 89.4357
5277.83 89.4402
5463.87 90.03779999999999
5657.23 91.121
5856.45 90.3956
6062.99 89.6966
6276.86 89.8052
6498.05 89.9865
6726.56 89.97450000000002
6963.87 90.1053
7209.96 89.8162
7464.84 89.493
7727.05 89.31339999999999
7999.51 89.68139999999998
8282.23 89.7008
8573.73 89.504
8876.95 89.55919999999999
9188.96 89.5864
9514.16 89.6359
9849.61 89.7479
10196.8 89.9526
10555.7 89.7321
10927.7 90.0975
11313.0 90.4285
11712.9 90.40830000000001
12126.0 90.41370000000002
12553.7 90.3327
12996.1 90.3549
13454.6 90.7426
13929.2 91.10450000000002
14419.9 90.4567
14928.2 90.20699999999998
15455.6 89.65769999999999
16000.5 89.6766
16564.5 90.24490000000002
17148.9 90.8257
17752.4 91.1576
18379.4 90.241
19026.9 88.3899
19697.8 85.6327
19999.5 84.7841
